Day,Time,Speed
1,417,6210458.940987148
1,454,6210458.940987148
1,467,6210458.940987148
1,469,6210458.940987149
1,484,6210458.940987148
1,486,6210458.940987148
1,491,186802.9816620585
1,500,3465576.282692253
1,505,4042256.1305850334
1,510,1926518.9834146455
1,512,5273220.917420191
1,516,4908162.938887538
1,517,6016804.317600613
1,520,4613289.5914734565
1,523,1092246.9815723777
1,524,5315147.298034904
1,525,5112895.986980409
1,526,1841867.6191581534
1,530,3128071.9671008023
1,532,1822462.5043238068
1,533,3719330.125081505
1,535,2121396.989013612
1,536,4500342.278867001
1,537,3183957.520137707
1,538,5945601.337180036
1,539,1068828.7065677005
1,540,3624373.885800578
1,541,2273518.4532110747
1,542,3680573.714780758
1,543,4690228.994222042
1,544,3153745.390149617
1,545,3029970.284599263
1,546,2492662.815114202
1,547,2381321.0659418367
1,548,1711880.6849352692
1,549,3099690.39729197
1,550,2084169.5621472064
1,551,3271518.472347835
1,552,5210035.806468695
1,554,3420764.1887035654
1,555,3439222.3835219517
1,556,6210458.940987148
1,557,6210458.940987148
1,558,2814922.382937996
1,559,6210458.940987148
1,560,6210458.940987148
1,561,6210458.940987148
1,562,6210458.940987148
1,563,6210458.940987148
1,564,6210458.940987147
1,565,6210458.940987147
1,566,6210458.940987148
1,567,6210458.940987148
1,568,6210458.940987149
1,569,6210458.940987148
1,570,6210458.940987147
1,571,1601574.569449041
1,572,6210458.940987148
1,573,6210458.940987148
1,574,6210458.940987148
1,575,6210458.940987147
1,576,3638009.734865273
1,577,3960996.5075411783
1,578,6210458.940987147
1,579,2660314.8471124903
1,580,2950608.0913764695
1,581,2943784.497527299
1,582,3425663.9776366516
1,583,2366076.8984005367
1,584,3150015.2513479744
1,585,3607456.506696959
1,586,3949272.3629708705
1,587,3561903.8536262554
1,588,4156298.49514076
1,589,3466681.516602053
1,590,2537791.1379287266
1,591,3163119.7590822084
1,592,3347336.342271657
1,593,3369998.0713109314
1,594,3178734.6946702315
1,595,4124511.4766089674
1,596,3534707.9705363708
1,597,2687303.634307744
1,598,3054019.1604348924
1,599,2932388.2249796623
1,600,2760082.5524210148
1,601,3521911.0310539026
1,602,2696074.5955071785
1,603,3636216.6462383377
1,604,2667466.9426672743
1,605,3097923.599748403
1,606,2659538.6257250467
1,607,2681286.640938186
1,608,2361017.02745164
1,609,3293243.3619366405
1,610,3265124.796509634
1,611,3061339.2260833285
1,612,2339961.774394785
1,613,3655099.0646028155
1,614,3492754.028470961
1,615,3028835.0471185986
1,616,3319369.6744905026
1,617,3499267.217146876
1,618,3166796.0993094663
1,619,3107698.367776969
1,620,3234961.862220008
1,621,3043531.6899852855
1,622,3475654.4979307135
1,623,3270388.75524719
1,624,2742624.5127396253
1,625,3467623.7345462977
1,626,3088341.072159221
1,627,2997290.3898300184
1,628,3059290.597019059
1,629,2911748.34185233
1,630,3253426.6387277003
1,631,3299245.0935585033
1,632,3060196.5706509296
1,633,3581063.2445688555
1,634,2803410.3813882666
1,635,3040469.369599923
1,636,3360593.781049797
1,637,3105369.777511032
1,638,3175233.916129683
1,639,3009003.385572319
1,640,3014393.8536616266
1,641,3135696.014984108
1,642,3037686.2611790393
1,643,3037032.2870635465
1,644,3053590.94097233
1,645,2971789.298905203
1,646,3173853.052116059
1,647,3049910.7377632726
1,648,2718135.2574509727
1,649,3196448.6086112983
1,650,3292941.29624809
1,651,3005373.2711545983
1,652,3142058.5865428364
1,653,2957453.0260618604
1,654,2919699.2044263016
1,655,3183743.3237672686
1,656,3017206.2467472474
1,657,3495163.366079036
1,658,2980359.17243814
1,659,3025545.0850605257
1,660,3015615.8301986256
1,661,3189617.6117696576
1,662,3036578.956731602
1,663,3201726.4854464494
1,664,3388670.812154994
1,665,3385309.9253418427
1,666,2988619.8232344426
1,667,3052499.3372391
1,668,2947874.818936994
1,669,3091395.7456068816
1,670,2969829.6872536927
1,671,3351674.5558351027
1,672,2970141.293839403
1,673,2955158.5050267265
1,674,2997645.7771730362
1,675,3004139.2090783273
1,676,3109782.28156679
1,677,2973690.479622726
1,678,2974940.4513505776
1,679,2985326.2272450356
1,680,3146700.732926134
1,681,2984181.8667229437
1,682,2843492.6790579255
1,683,2971924.9933312177
1,684,3038954.6757311434
1,685,3296748.493016503
1,686,3236220.9087733766
1,687,3226090.9595631906
1,688,3235772.2015220667
1,689,3099322.02200197
1,690,3241234.4230860327
1,691,3020997.1358302785
1,692,3336981.9095174246
1,693,3196610.718251229
1,694,2911569.646918441
1,695,3071102.983821193
1,696,2895283.79717804
1,697,2902015.482341776
1,698,3119323.8252678234
1,699,3155615.5355950915
1,700,3312239.9743760894
1,701,2997633.12908659
1,702,3185956.824377002
1,703,3084340.2207139144
1,704,3018566.1525606965
1,705,3028052.3902459648
1,706,3001732.4406186566
1,707,2987053.1411772957
1,708,2982176.2951259613
1,709,3235483.858688142
1,710,3017124.205021931
1,711,3155312.3914045794
1,712,3115886.0325840656
1,713,3049093.8230661005
1,714,3371048.905522157
1,715,3174794.4301440497
1,716,3023668.9464788944
1,717,3026217.2928263377
1,718,3081670.995300585
1,719,3275672.3735979595
1,720,3126194.0199350636
1,721,3177290.6046279357
1,722,3153818.54640188
1,723,3141037.8471268006
1,724,3036964.664255617
1,725,3046060.772233322
1,726,3005738.884142227
1,727,2993541.369134654
1,728,2988428.488514396
1,729,2996577.9558539214
1,730,2942186.303095126
1,731,3130579.7293562065
1,732,3154044.2506140284
1,733,3087579.154083319
1,734,3067729.0460640662
1,735,2997263.32780537
1,736,3152345.2672351333
1,737,3072271.186146561
1,738,2989427.975580429
1,739,3043773.4332832573
1,740,3162150.9017780954
1,741,3054747.1699261614
1,742,3093639.6532958806
1,743,2958179.666562326
1,744,2936541.5659172167
1,745,3206167.074218935
1,746,3168517.995362237
1,747,3056700.265981801
1,748,3099036.243035691
1,749,2930446.494685043
1,750,3015443.629018128
1,751,3065027.830203506
1,752,3256265.138468708
1,753,3107488.78198604
1,754,3107223.0851649763
1,755,3143935.691853265
1,756,3117571.4892924353
1,757,3142252.605855836
1,758,3041750.9914122475
1,759,3195422.5714731314
1,760,3227714.8975448376
1,761,3149287.6210729196
1,762,3121682.2261875723
1,763,3122768.4343301924
1,764,3072351.622205164
1,765,3113256.9463886973
1,766,3085320.042054244
1,767,3014099.2854017625
1,768,3208130.380765239
1,769,3219448.9120031856
1,770,3058437.1373356013
1,771,3170821.31839684
1,772,3117730.4973145123
1,773,3042613.7106248816
1,774,3123598.7645927416
1,775,3063100.1705482025
1,776,3070555.333227481
1,777,3165385.907318331
1,778,3099519.054224692
1,779,3139108.731357348
1,780,3054023.9837549203
1,781,3007644.9148991033
1,782,3126917.7849012176
1,783,2916954.7833195934
1,784,3155378.444710816
1,785,3114568.8093574937
1,786,3119890.9064624477
1,787,3056051.1351138055
1,788,2927279.3562883222
1,789,3225229.374855725
1,790,3061166.823739198
1,791,3004576.214167458
1,792,3208088.554542928
1,793,3118277.1284997845
1,794,3158451.629484761
1,795,3076994.6494695717
1,796,3156078.303678063
1,797,3043863.328951342
1,798,3089995.9142572535
1,799,3061525.49141872
