Day,Time,Speed
1,340,17101986.513959598
1,345,17101986.513959598
1,353,17101986.5139596
1,354,17101986.513959598
1,360,17101986.513959598
1,364,17101986.513959598
1,367,17101986.513959598
1,368,17101986.513959598
1,369,17101986.513959598
1,370,17101986.513959598
1,372,17101986.513959594
1,373,17101986.513959598
1,374,17101986.513959598
1,375,17101986.513959594
1,376,17101986.513959598
1,377,17101986.513959598
1,378,17101986.513959598
1,379,17101986.513959598
1,380,17101986.5139596
1,381,17101986.513959598
1,382,17101986.513959598
1,383,17101986.513959598
1,384,17101986.5139596
1,385,17101986.513959598
1,386,17101986.513959598
1,387,17101986.513959594
1,388,17101986.513959594
1,389,17101986.513959594
1,390,17101986.513959594
1,391,17101986.513959594
1,392,17101986.513959594
1,393,17101986.513959594
1,394,17101986.513959594
1,395,17101986.51395959
1,396,17101986.513959594
1,397,17101986.51395959
1,398,17101986.51395959
1,399,17101986.513959594
1,400,17101986.51395959
1,401,17101986.5139596
1,402,17101986.513959605
1,403,16915313.807380207
1,404,17101986.51395961
1,405,17101986.51395961
1,406,17101986.513959605
1,407,16305631.808065504
1,408,15549126.155159803
1,409,14921666.712193856
1,410,13718900.902063387
1,411,14539782.223271374
1,412,13894424.666436635
1,413,14815224.709951034
1,414,12576667.512356363
1,415,12962957.766075185
1,416,11949693.69079121
1,417,12927167.326869285
1,418,12691962.963195067
1,419,11970782.321877323
1,420,11197998.235168388
1,421,12148366.125290342
1,422,11271907.12956424
1,423,11163430.923385615
1,424,10652999.554586463
1,425,10643053.488689547
1,426,11255125.408673227
1,427,10534140.133430863
1,428,10679167.775941562
1,429,10576753.330297237
1,430,10646772.87598832
1,431,10424701.121937077
1,432,10396614.32049218
1,433,10663652.653083218
1,434,9910544.468087567
1,435,10126008.467916925
1,436,9592990.278295096
1,437,9988156.634933958
1,438,9703587.227618821
1,439,9560368.025265776
1,440,9380221.335181156
1,441,9400935.803555278
1,442,9923969.831506953
1,443,9295991.03957729
1,444,9350748.906151177
1,445,9518341.523631148
1,446,9389296.089084035
1,447,9676250.726474328
1,448,9108431.682340952
1,449,9444677.941616986
1,450,9246960.50385444
1,451,9182310.24732189
1,452,9416905.283459444
1,453,9293167.54197134
1,454,9150542.734349726
1,455,9103200.712070588
1,456,9226564.632779779
1,457,9317380.880041853
1,458,9278805.502979403
1,459,9208073.239941467
1,460,9084005.931543667
1,461,9161066.39668052
1,462,9214064.395693196
1,463,8976627.577111049
1,464,8912360.877141077
1,465,9170878.039787235
1,466,9357463.45733676
1,467,9284013.253035532
1,468,9022660.639261574
1,469,9153650.466298811
1,470,9107886.898899486
1,471,9199790.063813312
1,472,9100677.190728175
1,473,9334864.167822072
1,474,9100306.101331975
1,475,8798065.797939291
1,476,9158010.321516754
1,477,8987171.034832135
1,478,9397828.143477384
1,479,8971494.542262027
1,480,9143680.909411645
1,481,8936182.316982955
1,482,9023882.451837335
1,483,8699351.19344007
1,484,9086719.682218568
1,485,8837502.513223138
1,486,8882647.757952664
1,487,8627593.936289208
1,488,8735377.684972744
1,489,8698648.937177604
1,490,8798790.173997385
1,491,8727313.507297955
1,492,8567816.965103554
1,493,8463168.513515005
1,494,8671836.431278357
1,495,8306397.756763413
1,496,8307946.22175892
1,497,8400668.882861624
1,498,8541436.567024479
1,499,8396897.66965701
1,500,8545238.725260885
1,501,8450221.578777341
1,502,8722729.965496646
1,503,8457929.874387197
1,504,8691580.810535837
1,505,8718987.239212468
1,506,8786786.361544022
1,507,8448312.213764735
1,508,8567450.436567435
1,509,8836841.629306879
1,510,8445505.745689278
1,511,8375546.49321975
1,512,8715016.734283295
1,513,8561828.52773745
1,514,8744946.834715746
1,515,8639363.622578584
1,516,8413337.714126742
1,517,8993495.84605803
1,518,8603050.012484059
1,519,8683280.233750934
1,520,8817814.858542789
1,521,8452207.70590903
1,522,8375084.535378884
1,523,8476940.642612513
1,524,8508162.170285057
1,525,8506948.136311738
1,526,8581226.574139725
1,527,7980758.136426571
1,528,8802517.62358889
1,529,8379809.31364126
1,530,8709193.65106938
1,531,8623131.128545376
1,532,9216883.097115606
1,533,9116156.146898217
1,534,8665962.867414458
1,535,8612602.91527474
1,536,8661264.487690276
1,537,8316370.4977141
1,538,8594573.790759623
1,539,9358046.952281322
1,540,8064833.948714153
1,541,8238409.402134842
1,542,8758580.562334144
1,543,8886349.074388908
1,544,8728641.077638954
1,545,8530429.206678603
1,546,8983895.167131007
1,547,9213588.191592725
1,548,8583617.181367146
1,549,9544873.302286845
1,550,8533933.741773421
1,551,8360930.776208111
1,552,9736320.55407679
1,553,8244475.073823275
1,554,9060388.906144595
1,555,6972531.4938369915
1,556,8083849.255345405
1,557,9037112.439270692
1,558,11503871.4962175
1,559,6654502.967718891
1,560,12840033.648280479
1,561,15865436.878838992
1,562,14357182.174230255
1,563,9166638.775369521
1,564,17101986.535291173
1,565,17101986.543934595
1,566,14179156.711551601
1,567,17101986.56603697
1,568,15181274.168276893
1,569,8023417.5670393435
1,570,8551568.883114621
1,571,13333477.615972446
1,572,13703588.269997884
1,573,8349566.920732125
1,574,8262017.806753434
1,575,9633677.485638041
1,576,6804548.858739645
1,577,10910664.028039344
1,578,7910405.216628168
1,579,7761583.649461416
1,580,3907380.58103877
1,581,10602983.719039103
1,582,12003619.133514436
1,583,10798399.815102937
1,584,7451481.691042609
1,585,8268423.0833067885
