Day,Time,Speed
1,678,7014162.378958367
1,749,7014043.198192472
1,753,7014031.785392167
1,755,7014026.07565394
1,756,7014023.504369186
1,765,7013994.675341697
1,767,7013988.977480751
1,772,7013970.408533071
1,774,7013964.80821959
1,775,7013960.226387926
1,776,7013955.290767642
1,780,7013940.545182348
1,785,7013919.603753205
1,786,7013915.107715861
1,787,7013908.339563611
1,789,7013900.591378179
1,790,7013895.321251575
1,791,7013889.838293634
1,794,7013875.259883444
1,795,7013871.4941249965
1,796,7013865.808591197
1,797,7013862.253634427
1,799,7013847.61147014
1,800,7013845.985165823
1,801,7013838.204252494
1,802,7013831.468300881
1,803,7013829.098710377
1,804,7013821.790492348
1,805,7013813.908036154
1,807,7013802.073215009
1,808,7013794.7102565635
1,809,7013788.499384112
1,811,7013780.359089856
1,812,7013771.18250094
1,813,7013764.97309061
1,814,7013754.22754514
1,815,7013750.6012193225
1,816,7013743.647070691
1,817,7013732.893622564
1,818,7013724.844493175
1,819,7013720.0779514685
1,820,7013714.461501053
1,821,7013705.9127926575
1,822,7013697.486490818
1,823,7013690.71556695
1,824,7013681.21816415
1,825,7013673.618102389
1,826,7013666.079081623
1,827,7013656.018954164
1,828,7013647.071017044
1,829,7013640.28498595
1,830,7013631.352204474
1,831,7013621.801790744
1,832,7013612.404532957
1,833,7013605.449198054
1,834,7013593.918477188
1,835,7013585.221973681
1,836,7013575.742766593
1,837,7013563.730193364
1,838,7013553.122964427
1,839,7013543.803599997
1,840,7013534.749668199
1,841,7013523.412423243
1,842,7013512.061181273
1,843,7013498.615018249
1,844,7013489.15527716
1,845,7013479.1362969875
1,846,7013465.708236796
1,847,7013454.740323239
1,848,7013444.383628166
1,849,7013429.929258556
1,850,7013418.000691395
1,851,7013406.551535893
1,852,7013390.407473569
1,853,7013378.120098183
1,854,7013367.111508645
1,855,7013351.082558678
1,856,7013340.066533672
1,857,7013328.053129938
1,858,7013310.23374524
1,859,7013297.2324184375
1,860,7013282.7839085115
1,861,7013266.383396656
1,862,7013251.85124252
1,863,7013237.122951928
1,864,7013218.939127346
1,865,7013204.534353901
1,866,7013187.492970875
1,867,7013169.737229462
1,868,7013153.735108373
1,869,7013134.261963765
1,870,7013120.53651241
1,871,7013104.888472458
1,872,7013087.527939334
1,873,7013066.33879443
1,874,7013049.153547585
1,875,7013026.1825446645
1,876,7013007.768751266
1,877,7012990.332212112
1,878,7012966.984403303
1,879,7012949.448931539
1,880,7012928.145350489
1,881,7012906.488680572
1,882,7012884.834073599
1,883,7012863.657770196
1,884,7012839.960039728
1,885,7012818.184048329
1,886,7012794.519087123
1,887,7012770.6336073065
1,888,7012748.286071103
1,889,7012721.419722697
1,890,7012694.2229585545
1,891,7012668.761621064
1,892,7012648.649748725
1,893,7012621.603413941
1,894,7012595.11121635
1,895,7012565.32425832
1,896,7012537.7621451365
1,897,7012511.472301579
1,898,7012477.352380888
1,899,7012452.428391202
1,900,7012419.24997473
1,901,7012390.6640895745
1,902,7012360.9197027935
1,903,7012325.463871585
1,904,7012294.4144992735
1,905,7012260.65025801
1,906,7012231.98786158
1,907,7012195.391505607
1,908,7012161.747521298
1,909,7012122.308835364
1,910,7012090.099660632
1,911,7012053.439066858
1,912,7012015.082730318
1,913,7011978.197823622
1,914,7011938.1533322865
1,915,7011896.736392873
1,916,7011858.292374206
1,917,7011816.8458452895
1,918,7011775.302185801
1,919,7011731.631510531
1,920,7011688.7948922375
1,921,7011646.212857378
1,922,7011597.39385989
1,923,7011553.386240276
1,924,7011503.06869039
1,925,7011459.318339154
1,926,7011411.191608959
1,927,7011359.769569255
1,928,7011311.530208997
1,929,7011261.046655344
1,930,7011208.128188217
1,931,7011147.0679426445
1,932,7011099.29877536
1,933,7011040.470587548
1,934,7010983.793845386
1,935,7010925.865249239
1,936,7010865.735084503
1,937,7010807.4492263505
1,938,7010745.339504554
1,939,7010682.823224507
1,940,7010620.475534433
1,941,7010555.40247072
1,942,7010484.480625164
1,943,6888406.260784622
1,944,6942350.450121306
1,945,6964420.341663152
1,946,6261527.4689305425
1,947,4795329.085883162
