Day,Time,Speed
1,471,15020579.678461328
1,472,14693345.101130228
1,473,14612268.934028061
1,474,14515572.609833663
1,476,14217053.35370579
1,477,14111414.362486806
1,478,14074117.22273316
1,479,14024834.654498702
1,480,13970758.219277091
1,481,13926922.84201685
1,482,13903247.63469575
1,483,13872949.774279004
1,484,13852001.047559194
1,485,13835831.797114955
1,486,13821473.972463358
1,487,13810460.966917599
1,488,13799351.901416281
1,489,13790576.74632167
1,490,13784147.113493044
1,491,13142628.464514188
1,492,12308840.996845474
1,493,11342280.091230884
1,494,11201878.668397827
1,495,10136643.805327514
1,496,9233885.084071934
1,497,9284726.706932202
1,498,8967950.559651675
1,499,9047077.84293751
1,500,8672479.391635435
1,501,8272122.786602362
1,502,8256423.02684897
1,503,7724149.1868874
1,504,7863288.364542006
1,505,7709483.082083568
1,506,7711503.533393957
1,507,7533675.424847439
1,508,7275916.290853867
1,509,7481507.18069532
1,510,7574267.316902282
1,511,7472644.802294545
1,512,7214092.264510766
1,513,7318681.119291132
1,514,7185560.389172422
1,515,7342055.95391699
1,516,7193167.790439004
1,517,7236079.230578627
1,518,7091657.130333854
1,519,7255373.7359084105
1,520,7293739.767632424
1,521,7269719.132198244
1,522,7210142.734510203
1,523,7121486.3547061775
1,524,7302968.81814951
1,525,7203663.960327569
1,526,7364346.004153648
1,527,7267767.209910723
1,528,7221913.711927905
1,529,7245657.331674326
1,530,7062657.695311823
1,531,7285584.498041807
1,532,7503034.486769687
1,533,7132064.439108309
1,534,7470667.491947905
1,535,7372622.738909694
1,536,7332390.097338272
1,537,7557837.261488935
1,538,7547366.214504436
1,539,8178232.75439862
1,540,7997543.942332302
1,541,8419025.364563497
1,542,8168711.653007259
1,543,8951769.975099329
1,544,8993481.626718577
1,545,9392337.138741018
1,546,9535107.297659302
1,547,10263178.567978147
1,548,11173164.909291176
1,549,12205309.489326172
1,550,12313073.373399306
1,551,13971362.463701189
1,552,15263967.599171577
1,553,15996020.244003806
1,554,17450066.06894643
1,555,21018541.05251948
1,556,18833712.14999646
1,557,23714807.073367346
1,558,23622219.57194298
1,559,25539143.084907524
1,560,26495262.419617105
1,561,27080179.908462908
1,562,27742027.75104541
1,563,28160363.667046465
1,564,28485162.477691405
1,565,28762664.10607587
1,566,28981709.30995557
1,567,29129220.899076153
1,568,29229592.797284693
1,569,29304829.10639192
1,570,29366327.765203834
1,571,29399756.817927387
1,572,29110091.19557372
1,573,28661820.305518694
1,574,25797096.234605566
1,575,24702819.615318973
1,576,24866622.55550879
1,577,25159596.545433167
1,578,23424770.416450877
1,579,27946510.716308393
1,580,29189195.065595333
1,581,24279013.93829673
1,582,24320115.22186449
1,583,22397113.959388703
1,584,21972993.533001993
1,585,21063272.793457795
1,586,23406068.89762884
1,587,22794976.63095181
1,588,20391375.796333484
1,589,20418239.97900979
1,590,22148839.864648197
1,591,20167970.62837475
1,592,19772506.53320796
1,593,19129498.3402488
1,594,20878829.408625875
1,595,19030938.22592015
1,596,19853741.606232982
1,597,19034152.182195038
1,598,17655578.894627623
1,599,19163336.70854246
1,600,18672954.892395888
1,601,19572089.133094095
1,602,18336102.130280156
1,603,17207952.402376663
1,604,19200155.381818593
1,605,18636112.291065376
1,606,18544998.84533481
1,607,17324463.817266177
1,608,16671581.403778266
1,609,16989898.95951078
1,610,16980578.316419832
1,611,17329699.765737325
1,612,16830595.831527546
1,613,16115156.261807155
1,614,16560743.088107182
1,615,17434575.230712682
1,616,16025896.42764536
1,617,16183951.656634226
1,618,16463699.994887764
1,619,16697359.131003033
1,620,16180643.563677898
1,621,16319089.279500665
1,622,15857257.128782377
1,623,17053694.28985021
1,624,16809600.3833084
1,625,16577307.99379818
1,626,16744103.210034635
1,627,17048318.62170353
1,628,16294732.400173863
1,629,15644863.502048232
1,630,16022919.540463129
1,631,15521956.57070994
1,632,15149762.827578362
1,633,15187189.96158263
1,634,15910495.018582959
1,635,16239318.816214804
1,636,15554443.136149297
1,637,16582091.022109024
1,638,15495798.143438948
1,639,16102604.216360835
1,640,15473945.741573071
1,641,15214765.31220704
1,642,15536752.301456429
1,643,15303377.646183107
1,644,15297120.664191788
1,645,16008320.081313908
1,646,15531475.458869755
1,647,15267827.70665703
1,648,15217384.63827568
1,649,15862363.544483002
1,650,15268145.86872226
1,651,15799524.74744976
1,652,15208202.867486114
1,653,15221553.941879055
1,654,16065240.634121802
1,655,15451278.837274043
1,656,15237266.188129576
1,657,15430545.633397494
1,658,14863801.892568534
