Day,Time,Speed
1,288,26058757.681493837
1,301,26023186.52247608
1,302,26020127.650109477
1,305,26012134.8234161
1,307,26006646.704384226
1,318,25972774.392295517
1,320,25963267.508307334
1,321,25960609.23904333
1,322,25957727.430031653
1,332,25922500.032536875
1,336,25905686.560663544
1,338,25898493.906573284
1,343,25878439.08627027
1,346,25864682.788542736
1,352,25839443.069738694
1,355,25827843.4080963
1,357,25818036.23337216
1,358,25812761.511500165
1,359,25808394.054152146
1,360,25800970.28431149
1,363,25788417.0589343
1,364,25782122.777360067
1,367,25765738.107493266
1,369,25757962.463842947
1,370,25752841.538779892
1,371,25745172.771732166
1,372,25740982.640044793
1,373,25733679.147303537
1,374,25732107.377625
1,375,25726451.881547693
1,378,25708631.052431956
1,379,25704955.51265288
1,380,25697492.359507628
1,381,25691404.4013719
1,382,25684492.057596058
1,383,25680351.194734335
1,385,25666179.969798308
1,386,25662193.63289037
1,387,25654849.46348437
1,388,25648979.234010316
1,389,25644082.042112242
1,390,25634789.501889843
1,391,25630056.947001338
1,392,25622705.3394573
1,393,25619708.722313017
1,394,25614298.896389477
1,395,25605281.329694282
1,396,25598197.703672737
1,397,25592544.14284709
1,398,25585072.200975478
1,399,25580549.63586357
1,400,25572669.516867183
1,401,25562994.21277481
1,402,25556586.34064749
1,403,25547270.91383227
1,404,21539224.41711471
1,405,25533538.094781797
1,406,25529140.789853603
1,407,20476307.233240638
1,408,13578602.020526614
1,409,19089252.565303635
1,410,4289089.897403575
1,411,15242212.986691764
1,412,12979094.517055206
1,413,15020245.039271226
1,414,7347507.135818162
1,415,14145707.63350533
1,416,7153855.706948949
1,417,11075798.502513863
1,418,12462282.310545055
1,419,13041410.522194913
1,420,16824139.15315253
1,421,17765129.59690198
1,422,13013210.874160673
1,423,9408926.916245852
1,424,16493728.294889772
1,425,10778064.689953104
1,426,12283034.925396105
1,427,13638755.437819542
1,428,16019518.9468806
1,429,15433259.489528427
1,430,7479382.345410089
1,431,11156340.150783163
1,432,15776072.194720725
1,433,13193397.958261365
1,434,11205556.851770082
1,435,15866164.298551148
1,436,7994453.677549515
1,437,9607931.666606259
1,438,14804767.472145438
1,439,14835876.99011908
1,440,12974317.373857666
1,441,13301369.25087611
1,442,14919540.682792382
1,443,10679729.022515142
1,444,12946649.834327567
1,445,14528210.686013347
1,446,13899201.5000975
1,447,14193253.211618317
1,448,16065386.090300396
1,449,12069968.632781146
1,450,12684083.206727162
1,451,15416228.91305874
1,452,14271538.01145248
1,453,10834490.244630827
1,454,12881023.668431845
1,455,12272847.590511218
1,456,11559455.23436257
1,457,12604977.641796503
1,458,13334716.408901695
1,459,14432094.216533044
1,460,15056829.81658805
1,461,11302793.506849686
1,462,9124681.97482438
1,463,12579342.137068039
1,464,15389617.697678633
1,465,10888563.71716355
1,466,11429251.319486553
1,467,11832667.37350655
1,468,12768121.004238589
1,469,9753816.71346482
1,470,12547705.12216311
1,471,9960806.818951195
1,472,12994373.599326944
1,473,10955879.530678794
1,474,14280924.018224929
1,475,12048130.58151562
1,476,11413938.191160154
1,477,13052135.8905593
1,478,11353876.445694214
1,479,12113125.125895789
1,480,10939390.303764692
1,481,13655635.564355457
1,482,10605176.786119785
1,483,9739965.083136827
1,484,13306591.756650604
1,485,11742331.068575855
1,486,11442383.825061776
1,487,11876451.059179218
1,488,12307650.64825338
1,489,10238806.8648743
1,490,12806326.364625633
1,491,14344540.707392564
1,492,13270360.192777246
1,493,12807201.01757916
1,494,11075002.548944483
1,495,9259718.300388921
1,496,13033594.13001945
1,497,13895930.544250863
1,498,13614642.633545611
1,499,12390049.14141919
1,500,12212238.044377765
1,501,11271280.351970779
1,502,13191967.337586243
1,503,12804099.135419175
1,504,10399400.815651372
1,505,11771405.879040305
1,506,12675152.998020442
1,507,11914598.319812104
1,508,12854292.83835838
1,509,13410469.715238122
1,510,9730009.1142983
1,511,10753060.573731843
1,512,12212295.216210512
1,513,11975627.20260305
1,514,13437723.976254307
1,515,12495198.944811344
1,516,11769880.00955536
1,517,11950948.577896068
1,518,12823837.492914569
1,519,11618520.68878239
1,520,12413043.871459005
1,521,12576103.686587276
1,522,11082160.521867616
1,523,11494442.021365428
1,524,11396043.867919616
1,525,12588181.019498587
1,526,11604618.722428052
1,527,11778600.16193676
1,528,12095135.87321216
1,529,10642467.682362538
1,530,11842476.048245857
1,531,10233352.200368239
1,532,12466384.57612037
1,533,12222847.20496351
1,534,11957009.020750633
1,535,11438515.291942965
1,536,11192518.746464718
1,537,11920754.75172105
1,538,11067076.492048157
1,539,10920061.47581067
1,540,12376851.431585634
1,541,11946973.827720754
1,542,10797160.94970316
1,543,11703900.84973748
1,544,12634078.980096774
1,545,11596903.136241196
1,546,10861650.102035716
1,547,11601568.984631728
1,548,11223448.700449813
1,549,11477028.120297153
1,550,12224286.190586999
1,551,12167855.225256637
1,552,11365282.496815704
1,553,12674385.969990509
1,554,10946167.168332018
1,555,12353923.602502298
1,556,11594474.425885908
1,557,12549830.147420222
1,558,11673557.864643466
1,559,10828700.313159924
1,560,12031572.185678508
1,561,11839462.79705704
1,562,10870371.659210285
1,563,12339942.19132011
1,564,11512393.210372798
1,565,11446086.828058345
1,566,11395477.340011533
1,567,12549877.373951437
1,568,12029390.585441707
1,569,11546964.204045163
1,570,12033608.353745611
1,571,11204886.487700984
1,572,11002887.292885616
1,573,12689980.819553776
1,574,11207411.178572048
1,575,10512960.12561835
1,576,11559597.495722208
1,577,10869530.777621694
1,578,11544521.030606642
1,579,10233650.041898562
1,580,11644592.614953086
1,581,11450885.560493905
1,582,11817217.301893944
1,583,11096489.03446512
1,584,11001766.241470786
1,585,11341735.32794931
1,586,11233676.714565204
1,587,11395081.88451675
1,588,10694362.095340127
1,589,10753174.728577573
1,590,10839707.798073785
1,591,10297084.487662258
1,592,11228630.02005701
1,593,10847658.125306
1,594,10778164.581162287
1,595,10728403.122434514
1,596,10398014.798303338
1,597,10702939.00519134
1,598,11479249.415170025
