Day,Time,Speed
1,0,55149845.53434253
1,1,24206812.751374725
1,2,24207071.183060873
1,3,40732451.606633216
1,4,40777473.85919377
1,5,54380215.71920632
1,6,40839286.29652546
1,7,40870752.73184602
1,8,40924425.9983335
1,9,40961720.337288
1,10,55523531.57548902
1,11,55554040.229327984
1,12,55588762.06643785
1,13,41102294.19210097
1,14,36292878.902940586
1,15,69054934.05936404
1,16,54792125.11200679
1,17,48804062.974578366
1,18,48335512.244009495
1,19,61233870.36240713
1,20,49790471.41711813
1,21,62099080.49674852
1,22,67456614.01266938
1,23,45950987.43598262
1,24,45706846.608665004
1,25,46479689.15037496
1,26,44820261.28331477
1,27,45128109.0030285
1,28,59081662.765678264
1,29,30395635.6379199
1,30,57972430.94144813
1,31,58173065.49989722
1,32,58333335.39961842
1,33,55227079.96644224
1,34,42389043.80365733
1,35,56631959.96468
1,36,56789285.97531302
1,37,55913625.705914035
1,38,55813974.70812121
1,39,56136429.730187505
1,40,55689701.007908024
1,41,54312523.094956204
1,42,56803883.201539055
1,43,55468561.63120295
1,44,56944248.50702162
1,45,56725824.35539884
1,46,54140944.58343989
1,47,55608812.39107851
1,48,55797169.806163065
1,49,41478925.0664466
1,50,55085387.13300278
1,51,56847779.38709144
1,52,55441324.15655206
1,53,56204174.17737736
1,54,56006735.34740269
1,55,54592567.86652164
1,56,56611197.43647677
1,57,54369420.09083451
1,58,56458594.849858955
1,59,56297462.565455966
1,60,56671393.08329211
1,61,55290553.78211528
1,62,54194530.91034059
1,63,54853165.484363705
1,64,54417251.56781182
1,65,55701505.23673421
1,66,55690344.718586445
1,67,54428906.48039809
1,68,54682410.80522776
1,69,55169859.17897895
1,70,54744491.37462686
1,71,54156170.696145564
1,72,55090358.51960078
1,73,54893630.11097041
1,74,55231437.622625336
1,75,55242920.86974776
1,76,54817079.23834422
1,77,56247346.66121729
1,78,53846898.804621294
1,79,54556009.96323977
1,80,53864482.53736852
1,81,54258925.36479582
1,82,54014436.19262767
1,83,54319647.46969812
1,84,54199664.48679103
1,85,57880112.70876254
1,86,54194688.84655757
1,87,54817397.027111515
1,88,54529825.35451388
1,89,53984630.37168815
1,90,53515060.10400119
1,91,54807538.313308984
1,92,53769058.61002365
1,93,55507001.28018588
1,94,53982639.04631159
1,95,54110818.70341273
1,96,52926448.20253798
1,97,54245421.687618464
1,98,53813339.14605847
1,99,49407213.45135922
1,100,45155535.00953621
1,101,48761781.596277684
1,102,45979129.2554121
1,103,48824562.599741966
1,104,52671115.73385608
1,105,45182445.99908194
1,106,48198055.76324211
1,107,44757872.875498354
1,108,47957756.70248903
1,109,44667988.07564811
1,110,45152469.446359664
1,111,45618075.03740206
1,112,45329258.37243426
1,113,46712548.37278375
1,114,43551765.82846366
1,115,42391294.681468576
1,116,42902142.69660206
1,117,40438344.0058504
1,118,43154447.43528565
1,119,41936351.908495985
1,120,45842957.14177609
1,121,43825070.49557972
1,122,41679699.51665945
1,123,43404174.990345046
1,124,47470443.84914607
1,125,46864324.01287454
1,126,43281096.34189473
1,127,46417486.3282828
1,128,43561685.13392641
1,129,41371420.788259774
1,130,47560748.49278532
1,131,45394514.530117586
1,132,42072104.57123278
1,133,43895758.433576226
1,134,46338356.17466289
