Day,Time,Speed
1,0,55149930.32768026
1,1,38730936.74526309
1,2,40711031.09516006
1,3,33822989.83382422
1,4,55304387.806673706
1,5,33877171.88954976
1,6,40846089.98170436
1,7,40881801.97684257
1,8,40924877.91919523
1,9,40963531.93253025
1,10,40993843.80340168
1,11,41021579.45638224
1,12,55592603.85395462
1,13,55632149.01371398
1,14,41149101.910395116
1,15,50559585.351222895
1,16,53735044.79864263
1,17,55781244.75183423
1,18,53951215.372927606
1,19,59396639.48298637
1,20,48005719.36582677
1,21,47125504.4906785
1,22,30720113.481467307
1,23,44939744.89084537
1,24,59581550.34886292
1,25,46673894.001539975
1,26,57564074.74837066
1,27,56718162.10459866
1,28,57377562.76308797
1,29,58310617.95220336
1,30,56079116.331705816
1,31,43823098.42813011
1,32,56710476.2624343
1,33,55666914.45801572
1,34,58384935.20134015
1,35,56791758.21050665
1,36,57630802.820046045
1,37,55423550.018101454
1,38,59861680.24678774
1,39,58206579.138686344
1,40,59018111.47248079
1,41,56727494.73236361
1,42,56251399.81171765
1,43,55082401.63481919
1,44,56188037.28056714
1,45,55314943.555260375
1,46,56905604.780876786
1,47,55772084.308819875
1,48,55189429.58742515
1,49,55998782.651768014
1,50,55727330.29290645
1,51,54859862.207956254
1,52,56614983.73324994
1,53,54455768.140946895
1,54,54835030.10890421
1,55,55825613.29433549
1,56,57109078.356035255
1,57,55315228.978930846
1,58,56549686.070274696
1,59,56089015.72607269
1,60,55861852.891833745
1,61,54925477.67380366
1,62,56389991.74282793
1,63,55901764.419787884
1,64,54762769.52342477
1,65,55342142.534834534
1,66,54747603.903992936
1,67,54580800.557462975
1,68,54507622.66428432
1,69,54346969.93339561
1,70,55466652.70868902
1,71,53761766.33661109
1,72,56179243.491049044
1,73,54368895.26920098
1,74,53595152.65616603
1,75,54483967.89914861
1,76,56384123.65766798
1,77,55425065.35547082
1,78,54871572.20582024
1,79,55551080.74664678
1,80,55296160.77756116
1,81,53029090.47948897
1,82,53280217.89931767
1,83,54364609.12931275
1,84,53706699.85263297
1,85,53985808.257608116
1,86,54098914.876714915
1,87,53848923.29605669
1,88,54908965.81469883
1,89,54981176.68143083
1,90,54834433.93372783
1,91,58810590.98336878
1,92,53473451.31581009
1,93,54577641.419352375
1,94,54473538.13790589
1,95,53104861.977960795
1,96,52950675.8929085
1,97,49991413.98816913
1,98,48211866.90568161
1,99,50327043.39403264
1,100,47368352.084004045
1,101,50051282.39874074
1,102,47330165.02711874
1,103,47315314.17986802
1,104,46855754.11292691
1,105,48369808.71995142
1,106,48201068.61956058
1,107,44762827.46984878
1,108,43215857.58273023
1,109,46795051.08247684
1,110,50320425.94375447
1,111,45184683.429303125
1,112,45454357.99316405
1,113,43399885.63091379
1,114,47990709.08208906
1,115,44073355.71988183
1,116,43108679.01434757
1,117,44866563.5757922
1,118,43312987.61526487
1,119,48888501.687581606
1,120,43659720.23608054
1,121,42629382.11513039
1,122,44546588.166289076
1,123,41829307.09298374
1,124,42938872.0056415
1,125,42417147.39981163
1,126,45387286.59267886
1,127,45932223.02996018
1,128,46614195.20780745
1,129,48095362.60961584
1,130,41860251.4190329
1,131,40995152.55877137
1,132,43188692.09115626
1,133,42212814.38672196
1,134,42390730.53035198
1,135,42976779.671006896
1,136,44398044.494782306
1,137,38565119.55427235
1,138,47804195.940904886
1,139,45607809.75209678
1,140,42640553.353123434
1,141,43133750.56090734
1,142,45236146.16772626
1,143,40543631.12591132
1,144,44948260.818726875
1,145,40092908.114347935
1,146,44644386.79407936
1,147,46322657.115662396
1,148,40647356.80615639
1,149,43443457.93920255
1,150,43684237.03933092
1,151,39143147.31152332
1,152,40951578.614176154
1,153,41272523.05057133
1,154,49000651.34352341
1,155,45070289.32623716
1,156,44735447.086192295
1,157,53270707.63889769
1,158,41808595.13133174
1,159,39704298.47070032
1,160,42892167.12016491
1,161,50647852.65833153
1,162,42006014.83391319
1,163,46449201.54803232
1,164,46429736.725986645
1,165,46062168.524405316
1,166,45659913.77309315
1,167,51069548.69453195
1,168,47246277.72460119
1,169,48816949.52738792
1,170,50675272.748695485
1,171,50461366.7579843
1,172,48310484.415311836
1,173,54117478.59167542
1,174,50139891.23275655
1,175,46928235.77453286
1,176,47769341.295600444
1,177,49489753.59257209
1,178,52904037.8866867
1,179,49156041.03407289
1,180,51151060.28933988
1,181,52097602.810290396
1,182,46970263.478766024
1,183,47495679.02614971
1,184,45148118.5522452
1,185,49278691.12906516
1,186,57078408.4486717
1,187,47776079.38403413
1,188,49340033.67004283
1,189,53442817.80712046
1,190,51077370.11771765
1,191,45663024.18857753
1,192,51881890.31925113
1,193,45065042.016799286
1,194,51739023.470144674
1,195,48882699.60488847
1,196,49389446.76877568
1,197,55350273.12301737
1,198,59299543.95154604
1,199,54849133.634802215
1,200,53024313.483062804
1,201,48770653.56030348
1,202,58360972.899212636
1,203,54559813.395731285
1,204,52708472.7684326
1,205,47984500.13557006
1,206,50419457.330137044
1,207,48724735.48790897
1,208,53794983.45823454
1,209,50156461.39582231
1,210,54869120.748807505
1,211,61085134.82670783
1,212,48435527.757922396
1,213,54735543.80991521
1,214,49109136.5688763
1,215,52418692.16301281
1,216,55301444.390043996
1,217,55227159.37766093
1,218,55065827.63586761
1,219,50038495.70155169
1,220,50455648.23924707
1,221,54695534.94616117
1,222,48590033.23052326
1,223,54241205.95233807
1,224,54993593.530958705
1,225,59828699.08864143
1,226,48817155.85648031
1,227,55664621.53429811
1,228,54254098.49944147
1,229,48870852.37818082
1,230,61236806.33630257
1,231,54685778.57304227
1,232,53911130.290785536
1,233,55190611.43447158
1,234,54288855.63825069
1,235,55259947.75286099
1,236,53027153.11085107
1,237,54650711.79067246
1,238,54380253.03596233
1,239,53689664.07468592
1,240,55216796.438413695
1,241,53431532.3223168
1,242,50858566.39415371
1,243,55786738.5063016
1,244,54419764.1022686
1,245,54344650.184419885
1,246,56224548.648935206
1,247,55041871.78523955
1,248,54423784.16935879
1,249,54116061.32458426
1,250,55276555.95372403
1,251,54357127.65789964
1,252,54112756.84766222
1,253,53472341.00709876
1,254,55347511.55353637
1,255,55111738.06203008
1,256,56118790.3986652
1,257,54626730.425023004
1,258,54035868.12419481
1,259,54824761.00218228
1,260,54897244.68728045
1,261,54297360.6719441
1,262,53930768.61950863
1,263,54498929.799439095
1,264,53713316.23278889
1,265,52917167.12644202
1,266,54059856.98519997
1,267,54909930.26367377
1,268,54311630.43892623
1,269,54951849.48443377
1,270,53456199.08918142
1,271,53095210.79943097
1,272,53818786.71632913
1,273,50676185.127005115
1,274,48516595.51132791
1,275,47831379.78216154
1,276,53558262.76259151
1,277,49282947.382464595
1,278,51406981.20827886
1,279,49300912.87257415
1,280,46796076.24590884
1,281,51617322.5467423
1,282,47921764.70321475
1,283,47435547.23264345
1,284,46165376.011945106
1,285,49916780.43062964
1,286,50611673.350961745
1,287,52150343.62530026
1,288,52417080.33096196
1,289,51084122.675539754
1,290,51947125.81131154
1,291,48124581.248557225
1,292,49225561.695332475
1,293,51894384.91112567
1,294,50663780.45125418
1,295,72292818.85758457
1,296,49623392.622133195
1,297,46979203.43630444
1,298,48679395.675883085
1,299,50109350.62581119
1,300,52123067.0089804
1,301,76834638.30540149
1,302,48625822.50968896
1,303,46190410.35919509
1,304,47536952.79401651
1,305,78092556.89216815
1,306,78534652.43327229
1,307,51560290.35394891
1,308,50176565.51927322
1,309,51132516.000024356
1,310,53153639.16279369
1,311,50780858.859932005
1,312,51126219.56843299
1,313,52403946.89556131
1,314,77123769.41168374
1,315,50123584.75701198
1,316,78698949.11639284
1,317,77963172.58527412
1,318,51303010.80634119
1,319,51202362.36175268
1,320,51339604.887375854
1,321,79598076.10415797
1,322,51573363.74945616
1,323,76682301.60428217
1,324,52201841.47384127
1,325,51304176.2618642
