Day,Time,Speed
1,0,55161546.12211321
1,1,33731586.16876172
1,2,33786013.9641387
1,3,40747564.77622735
1,4,40771640.2462299
1,5,33882340.40737778
1,6,40853597.97205631
1,7,40880862.242078036
1,8,55442390.45980095
1,9,40957891.54802883
1,10,54563853.33004361
1,11,41027571.37063983
1,12,55594170.83295603
1,13,61783227.548257194
1,14,55665471.769427195
1,15,54304452.161268115
1,16,36745463.58076368
1,17,36898610.46973351
1,18,69396383.67812553
1,19,44681212.621709876
1,20,46893257.52417019
1,21,44099656.64260026
1,22,59722731.637401104
1,23,46197246.12807299
1,24,58485028.23657495
1,25,46344497.323824644
1,26,56776128.83789464
1,27,57257812.721698
1,28,59561723.79362039
1,29,43711362.16776512
1,30,58368009.406929374
1,31,56458641.575242445
1,32,56570219.126728475
1,33,43571472.141609274
1,34,44332046.276112616
1,35,56843142.37819774
1,36,58444463.90378455
1,37,55535516.45235617
1,38,56083821.30077419
1,39,57684987.487407595
1,40,55925617.209615596
1,41,57986580.35140654
1,42,56189013.41566567
1,43,56548663.41130677
1,44,55032394.9779485
1,45,56109288.81490057
1,46,56402386.569901645
1,47,55723508.17056476
1,48,55784806.55684091
1,49,57226972.87028032
1,50,55904512.347878054
1,51,54444113.77608827
1,52,55634725.40985845
1,53,56020894.87004035
1,54,54501953.18011239
1,55,54704765.267474756
1,56,56274182.68076617
1,57,54442629.231291175
1,58,55804700.064620405
1,59,55697058.817020856
1,60,54066741.94431086
1,61,54303868.65230887
1,62,55167817.60959859
1,63,56662211.01695069
1,64,55345760.340617426
1,65,55652342.20637274
1,66,55272487.279089555
1,67,55109334.58334842
1,68,54973407.542987406
1,69,55134833.83511771
1,70,53817890.473050416
1,71,55040862.838745326
1,72,55394182.18923903
1,73,55176151.89704044
1,74,55023989.85704969
1,75,53399392.27580112
1,76,54187142.37447642
1,77,55400587.23559655
1,78,55099627.981358945
1,79,54618859.7121901
1,80,54580347.798002616
1,81,54289895.095586054
1,82,55772217.49891209
1,83,59573979.56242567
1,84,54880306.82594368
